podkategorija;classify;classify_count
atletika;+;417
atletika;-;846
citat-za-prebrat;+;1956
citat-za-prebrat;-;6309
formula-1;+;2016
formula-1;-;3628
hokej;+;11755
hokej;-;20661
kolesarstvo;+;1743
kolesarstvo;-;2600
kosarka;+;11553
kosarka;-;28142
motosporti;+;346
motosporti;-;416
na-danasnji-dan;+;32
na-danasnji-dan;-;27
ne-spreglejte;+;116
ne-spreglejte;-;244
nogomet;+;24899
nogomet;-;70474
novice;+;309
novice;-;687
novice-uporabnikov;+;2
novice-uporabnikov;-;2
odbojka;+;483
odbojka;-;928
oi-2012;+;2365
oi-2012;-;3292
paraolimpijske-igre;+;2
paraolimpijske-igre;-;1
preostali-sporti;+;2950
preostali-sporti;-;5138
rokomet;+;2453
rokomet;-;4629
rumeni-pajkl;+;170
rumeni-pajkl;-;408
sportni-sos;+;359
sportni-sos;-;625
tenis;+;7523
tenis;-;7700
zimski-sporti;+;24063
zimski-sporti;-;21809
