podkategorija;classify;count;count_all;index
atletika;+;417;1263;0.330166270784
atletika;-;846;1263;0.669833729216
citat-za-prebrat;+;1956;8265;0.23666061706
citat-za-prebrat;-;6309;8265;0.76333938294
formula-1;+;2016;5644;0.357193479802
formula-1;-;3628;5644;0.642806520198
hokej;+;11755;32416;0.362629565647
hokej;-;20661;32416;0.637370434353
kolesarstvo;+;1743;4343;0.401335482385
kolesarstvo;-;2600;4343;0.598664517615
kosarka;+;11553;39695;0.291044212117
kosarka;-;28142;39695;0.708955787883
motosporti;+;346;762;0.45406824147
motosporti;-;416;762;0.54593175853
na-danasnji-dan;+;32;59;0.542372881356
na-danasnji-dan;-;27;59;0.457627118644
ne-spreglejte;+;116;360;0.322222222222
ne-spreglejte;-;244;360;0.677777777778
nogomet;+;24899;95373;0.261069694777
nogomet;-;70474;95373;0.738930305223
novice;+;309;996;0.310240963855
novice;-;687;996;0.689759036145
novice-uporabnikov;+;2;4;0.5
novice-uporabnikov;-;2;4;0.5
odbojka;+;483;1411;0.342310418143
odbojka;-;928;1411;0.657689581857
oi-2012;+;2365;5657;0.418066112781
oi-2012;-;3292;5657;0.581933887219
paraolimpijske-igre;+;2;3;0.666666666667
paraolimpijske-igre;-;1;3;0.333333333333
preostali-sporti;+;2950;8088;0.364737883284
preostali-sporti;-;5138;8088;0.635262116716
rokomet;+;2453;7082;0.346371081615
rokomet;-;4629;7082;0.653628918385
rumeni-pajkl;+;170;578;0.294117647059
rumeni-pajkl;-;408;578;0.705882352941
sportni-sos;+;359;984;0.364837398374
sportni-sos;-;625;984;0.635162601626
tenis;+;7523;15223;0.494186428431
tenis;-;7700;15223;0.505813571569
zimski-sporti;+;24063;45872;0.524568364144
zimski-sporti;-;21809;45872;0.475431635856
